"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Coarse_STE","Coarse_STE_rank"
"1169","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Tanypodinae","ZZZ","Pentaneurini","ZZZ","ZZZ","Hayesomyia","ZZZ","ZZZ","senata","ZZZ","Chironomidae","Family"
"1170","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Brachycera","Muscomorpha","ZZZ","Sciomyzidae","Sciomyzinae","ZZZ","Tetanocerini","ZZZ","ZZZ","Sepedon","ZZZ","ZZZ","ZZZ","ZZZ","Sepedon","Genus"
"1171","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Chironominae","ZZZ","Chironomini","ZZZ","ZZZ","Sergentia","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"1177","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Ceratopogonidae","Ceratopogoninae","ZZZ","Ceratopogonini","ZZZ","ZZZ","Serromyia","ZZZ","ZZZ","ZZZ","ZZZ","Serromyia","Genus"
"1181","Arthropoda","Crustacea","ZZZ","Branchiopoda","Phyllopoda","ZZZ","ZZZ","Diplostraca","Cladocera","Ctenopoda","ZZZ","Sididae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Sida","ZZZ","ZZZ","ZZZ","ZZZ","Sida","Genus"
"1182","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Limnephiloidea","Apataniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Pedomoecus","ZZZ","ZZZ","sierra","ZZZ","Pedomoecus","Genus"
"1183","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae","Corixinae","ZZZ","ZZZ","ZZZ","ZZZ","Sigara","ZZZ","ZZZ","ZZZ","ZZZ","Sigara","Genus"
"1184","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Orthocladiinae","ZZZ","ZZZ","ZZZ","ZZZ","Eukiefferiella","ZZZ","ZZZ","similis","ZZZ","Chironomidae","Family"
"1185","Mollusca","ZZZ","ZZZ","Gastropoda","ZZZ","ZZZ","ZZZ","Neotaenioglossa","ZZZ","ZZZ","ZZZ","Ovulidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Simnia","ZZZ","ZZZ","ZZZ","ZZZ","Ovulidae","Family"
"1186","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1187","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1188","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","pugetense","ZZZ","Simuliidae","Family"
"1189","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","Simulium Malyschevi Group","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1190","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1191","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","Nevermannia","ZZZ","ZZZ","Simuliidae","Family"
"1192","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","Simulium arcticum complex","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1193","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","Simulium Venustum Group","ZZZ","ZZZ","ZZZ","Simuliidae","Family"
"1194","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","argus","ZZZ","Simuliidae","Family"
"1195","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","saxosum","ZZZ","Simuliidae","Family"
"1196","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","carbunculum","ZZZ","Simuliidae","Family"
"1197","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","venustum","ZZZ","Simuliidae","Family"
"1198","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Simuliidae","Simuliinae","ZZZ","Simuliini","ZZZ","ZZZ","Simulium","ZZZ","ZZZ","canadense","ZZZ","Simuliidae","Family"
