"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Fine_STE","Fine_STE_rank"
"92","Arthropoda","Crustacea","ZZZ","Malacostraca","Eumalacostraca","ZZZ","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Astacidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Astacidae","Family"
"94","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Athienemanniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Athienemanniidae","Family"
"95","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Coleoptera","Polyphaga","ZZZ","ZZZ","Elmidae","Elminae","ZZZ","Elmini","ZZZ","ZZZ","Atractelmis","ZZZ","ZZZ","ZZZ","ZZZ","Atractelmis","Genus"
"96","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hygrobatidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Atractides","ZZZ","ZZZ","ZZZ","ZZZ","Atractides","Genus"
"97","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hygrobatidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Atractides","ZZZ","ZZZ","ZZZ","ZZZ","Atractides","Genus"
"101","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Aturidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aturidae","Family"
"102","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Aturidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aturus","ZZZ","ZZZ","ZZZ","ZZZ","Aturus","Genus"
"103","Annelida","ZZZ","ZZZ","Clitellata","Oligochaeta","ZZZ","ZZZ","Haplotaxida","Tubificina","ZZZ","ZZZ","Tubificidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aulodrilus","ZZZ","ZZZ","ZZZ","ZZZ","Aulodrilus","Genus"
"104","Annelida","ZZZ","ZZZ","Clitellata","Oligochaeta","ZZZ","ZZZ","Haplotaxida","Tubificina","ZZZ","ZZZ","Tubificidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aulodrilus","ZZZ","ZZZ","ZZZ","ZZZ","Aulodrilus","Genus"
"105","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Tipulomorpha","ZZZ","Tipulidae","Limoniinae","ZZZ","Hexatomini","ZZZ","ZZZ","Austrolimnophila","ZZZ","ZZZ","ZZZ","ZZZ","Austrolimnophila","Genus"
"106","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Cryptocephalinae","ZZZ","Clytrini","ZZZ","ZZZ","Babia","ZZZ","ZZZ","ZZZ","ZZZ","Babia","Genus"
"107","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Baetidae","Family"
"118","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Baetodes","ZZZ","ZZZ","ZZZ","ZZZ","Baetodes","Genus"
"119","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Baetopus","ZZZ","ZZZ","trishae","ZZZ","Baetopus trishae","Species"
"120","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Anisitsiellidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Bandakiopsis","ZZZ","ZZZ","ZZZ","ZZZ","Bandakiopsis","Genus"
"121","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Nepomorpha","Nepoidea","Belostomatidae","Belostomatinae","ZZZ","ZZZ","ZZZ","ZZZ","Belostoma","ZZZ","ZZZ","ZZZ","ZZZ","Belostoma","Genus"
"122","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Berosini","ZZZ","ZZZ","Berosus","ZZZ","ZZZ","ZZZ","ZZZ","Berosus","Genus"
"123","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Blephariceromorpha","ZZZ","Blephariceridae","Blepharicerinae","ZZZ","Blepharicerini","ZZZ","ZZZ","Bibiocephala","ZZZ","ZZZ","ZZZ","ZZZ","Bibiocephala","Genus"
"124","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Diptera","Nematocera","ZZZ","ZZZ","Chironomidae","Tanypodinae","ZZZ","Macropelopiini","ZZZ","ZZZ","Bilyjomyia","ZZZ","ZZZ","ZZZ","ZZZ","Bilyjomyia","Genus"
"125","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Ptychopteromorpha","ZZZ","Ptychopteridae","Bittacomorphinae","ZZZ","ZZZ","ZZZ","ZZZ","Bittacomorpha","ZZZ","ZZZ","ZZZ","ZZZ","Bittacomorpha","Genus"
"126","Mollusca","ZZZ","ZZZ","Bivalvia","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Bivalvia","Class"
"127","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Blephariceromorpha","ZZZ","Blephariceridae","Blepharicerinae","ZZZ","Blepharicerini","ZZZ","ZZZ","Blepharicera","ZZZ","ZZZ","ZZZ","ZZZ","Blepharicera","Genus"
"128","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Blephariceromorpha","ZZZ","Blephariceridae","Blepharicerinae","ZZZ","Blepharicerini","ZZZ","ZZZ","Blepharicera","ZZZ","ZZZ","ZZZ","ZZZ","Blepharicera","Genus"
"129","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Blephariceromorpha","ZZZ","Blephariceridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Blephariceridae","Family"
"130","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Blephariceromorpha","ZZZ","Blephariceridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Blephariceridae","Family"
