"","Fine_STE","Medium_STE","Coarse_STE","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"685","Laccobius","Laccobius","Laccobius","Laccobius",112858,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Laccobiini","","","Laccobius","","","","",NA,NA,"Genus","Genus","Genus","Laccobius","Laccobius","Laccobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Laccophilus","Laccophilus","Dytiscidae","Laccophilus",112278,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Laccophilinae","","Laccophilini","","","Laccophilus","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Laccophilus","Laccophilus",NA,"Laccophilus","Laccophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Lampyridae","Lampyridae","Lampyridae","Lampyridae",113835,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Elateroidea","Lampyridae","","","","","","","","","","","Lampyridae",TRUE,"Family","Family","Family","Coleoptera","Coleoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Lanx","Lanx","Lymnaeidae","Lanx",76477,"Mollusca","","","Gastropoda","","","","Basommatophora","","","","Lymnaeidae","","","","","","Lanx","","","","",NA,NA,"Family","Genus","Genus","Lymnaeidae","Lymnaeidae","Lymnaeidae","Lymnaeidae","Lanx","Lanx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","Lara","Lara","Lara","Lara",114137,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Lara","","","","",NA,NA,"Genus","Genus","Genus","Lara","Lara","Lara","Elmidae","Elmidae","Elmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Lara avara","Lara avara","Lara avara","Lara avara",114139,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Lara","","","avara","",NA,NA,"Species","Species","Species","Lara avara","Lara avara","Lara avara","Elmidae","Elmidae","Elmidae","Lara avara","Lara avara","Lara avara",NA,NA,NA,"Lara avara","Lara avara","Lara avara"
"691","Larsia","Pentaneurini","Chironomidae","Larsia",128183,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Larsia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Larsia","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","Laversia","Acari","Acari","Laversia",82971,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Arrenuridae","","","","","","Laversia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Arrenuridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Lebertia","Acari","Acari","Lebertia",83034,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Lebertiidae","","","","","","Lebertia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Lebertia",NA,NA,"Lebertia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Lepidonotus","Lepidonotus","Lepidonotus","Lepidonotus",64599,"Annelida","","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","","","Polynoidae","","","","","","Lepidonotus","","","","",NA,NA,"Genus","Genus","Genus","Lepidonotus","Lepidonotus","Lepidonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera",117232,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Lepidoptera","","","","","","","","","","","","","","",NA,NA,"Order","Order","Order","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma",116794,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Lepidostomatidae","Lepidostomatinae","","","","","Lepidostoma","","","","",NA,NA,"Genus","Genus","Genus","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma","Lepidostoma",NA,NA,NA,"Lepidostoma","Lepidostoma","Lepidostoma"
