"","Fine_STE","Medium_STE","Coarse_STE","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"359","Drunella grandis flavitincta","Drunella grandis flavitincta","Drunella grandis flavitincta","Drunella grandis flavitincta",101375,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Drunella","","","grandis","flavitincta",NA,NA,"Subspecies","Subspecies","Subspecies","Drunella","Drunella","Drunella","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,"Drunella","Drunella","Drunella","Drunella","Drunella","Drunella"
"360","Drunella grandis grandis","Drunella grandis grandis","Drunella grandis grandis","Drunella grandis grandis",101372,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Drunella","","","grandis","grandis",NA,NA,"Subspecies","Subspecies","Subspecies","Drunella","Drunella","Drunella","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,"Drunella","Drunella","Drunella","Drunella","Drunella","Drunella"
"361","Drunella grandis/spinifera","Drunella grandis/spinifera","Drunella grandis/spinifera","Drunella grandis/spinifera",-11,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Drunella","Drunella grandis/spinifera","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Drunella grandis/spinifera","Drunella grandis/spinifera","Drunella grandis/spinifera","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,"Drunella grandis/spinifera","Drunella grandis/spinifera","Drunella grandis/spinifera","Drunella grandis/spinifera","Drunella grandis/spinifera","Drunella grandis/spinifera"
"362","Drunella pelosa","Drunella pelosa","Drunella pelosa","Drunella pelosa",568634,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Drunella","","","pelosa","",NA,NA,"Species","Species","Species","Drunella","Drunella","Drunella","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,"Drunella","Drunella","Drunella","Drunella","Drunella","Drunella"
"363","Drunella spinifera","Drunella spinifera","Drunella spinifera","Drunella spinifera",101385,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Drunella","","","spinifera","",NA,NA,"Species","Species","Species","Drunella spinifera","Drunella spinifera","Drunella spinifera","Ephemerellidae","Ephemerellidae","Ephemerellidae",NA,NA,NA,"Drunella spinifera","Drunella spinifera","Drunella spinifera","Drunella spinifera","Drunella spinifera","Drunella spinifera"
"364","Dryopidae","Dryopidae","Dryopidae","Dryopidae",113999,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Dryopidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Coleoptera","Coleoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Dubiraphia","Dubiraphia","Dubiraphia","Dubiraphia",114126,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Dubiraphia","","","","",NA,NA,"Genus","Genus","Genus","Elmidae","Elmidae","Elmidae","Dubiraphia","Dubiraphia","Dubiraphia","Dubiraphia","Dubiraphia","Dubiraphia",NA,NA,NA,"Dubiraphia","Dubiraphia","Dubiraphia"
"366","Dytiscidae","Dytiscidae","Dytiscidae","Dytiscidae",111963,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Dytiscidae","Dytiscidae","Dytiscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","Ecclisocosmoecus","Ecclisocosmoecus","Ecclisocosmoecus","Ecclisocosmoecus",116340,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Ecclisocosmoecus","","","","",NA,NA,"Genus","Genus","Genus","Ecclisocosmoecus","Ecclisocosmoecus","Ecclisocosmoecus","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia",116025,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Ecclisomyia","","","","",NA,NA,"Genus","Genus","Genus","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia","Ecclisomyia"
"369","Ecdyonurus","Ecdyonurus","Ecdyonurus","Ecdyonurus",697960,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Ecdyonurus","","","","",NA,NA,"Genus","Genus","Genus","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei",698149,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Ecdyonurus","","","criddlei","",NA,NA,"Species","Species","Species","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei","Heptageniidae","Heptageniidae","Heptageniidae","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei","Ecdyonurus criddlei",NA,NA,NA
"371","echo","Brachycentrus","Brachycentrus","Brachycentrus echo",604657,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Brachycentrus","","Sychnothrix","echo","",NA,NA,"Genus","Genus","Species","Brachycentrus","Brachycentrus","Brachycentrus","Brachycentrus","Brachycentrus","Brachycentrus",NA,NA,NA,NA,NA,NA,"Brachycentrus","Brachycentrus","Brachycentrus"
"372","Eclipidrilus","Lumbriculidae","Oligochaeta","Eclipidrilus",68473,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Eclipidrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Eclipidrilus","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","ecosa","Rhyacophila","Rhyacophila","Rhyacophila ecosa",115104,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Rhyacophiloidea","Rhyacophilidae","","","","","","Rhyacophila","","","ecosa","",NA,NA,"Genus","Genus","Species","Rhyacophila","Rhyacophila","Rhyacophila","Rhyacophila","Rhyacophila","Rhyacophila",NA,NA,NA,NA,NA,NA,"Rhyacophila","Rhyacophila","Rhyacophila"
"374","Ectemnia","Ectemnia","Simuliidae","Ectemnia",126660,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Simuliidae","Simuliinae","","Prosimuliini","","","Ectemnia","","","","",NA,NA,"Family","Genus","Genus","Simuliidae","Simuliidae","Simuliidae","Simuliidae","Simuliidae","Simuliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Ectopria","Ectopria","Ectopria","Ectopria",114087,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Eubriinae","","","","","Ectopria","","","","",NA,NA,"Genus","Genus","Genus","Coleoptera","Coleoptera","Coleoptera","Ectopria","Ectopria","Ectopria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","edwardsi","Pseudostenophylax","Pseudostenophylax","Pseudostenophylax edwardsi",115993,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Pseudostenophylacinae","","","","","Pseudostenophylax","","","edwardsi","",NA,NA,"Genus","Genus","Species","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","effusus","Orthocladiinae","Chironomidae","Rheocricotopus effusus",129093,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Rheocricotopus","","","effusus","",NA,NA,"Family","Subfamily","Species","Chironomidae","Orthocladiinae","Rheocricotopus","Chironomidae","Orthocladiinae","Rheocricotopus",NA,NA,"Rheocricotopus",NA,NA,NA,NA,NA,NA
"378","Eiseniella","Lumbriculidae","Oligochaeta","Eiseniella tetraedra",-121,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Eiseniella","","","tetraedra","","Eiseniella tetraedra",TRUE,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Lumbriculidae","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Elimia","Elimia","Pleuroceridae","Elimia",71654,"Mollusca","","","Gastropoda","","","","Neotaenioglossa","","","","Pleuroceridae","","","","","","Elimia","","","","",NA,NA,"Family","Genus","Genus","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Ellipteroides","Ellipteroides","Ellipteroides","Ellipteroides",-172,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","","","","","","Ellipteroides","","","","",NA,NA,"Genus","Genus","Genus","Tipulidae","Tipulidae","Tipulidae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Elmidae","Elmidae","Elmidae","Elmidae",114093,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Elmidae sp. AJF#01","Elmidae sp. AJF#01","Elmidae sp. AJF#01","Elmidae sp. AJF#01",-205,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","","","","Elmidae sp. AJF#01","",NA,NA,"Species","Species","Species","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Elmidae sp. AJF#02","Elmidae sp. AJF#02","Elmidae sp. AJF#02","Elmidae sp. AJF#02",-206,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","","","","Elmidae sp. AJF#02","",NA,NA,"Species","Species","Species","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Elminae","Elminae","Elminae","Elminae",678522,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Elodes","Elodes","Elodes","Elodes",113969,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Scirtoidea","Scirtidae","","","","","","Elodes","","","","","Scirtidae",TRUE,"Genus","Genus","Genus","Scirtidae","Scirtidae","Scirtidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Eloeophila","Eloeophila","Eloeophila","Eloeophila",-246,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","Tipuloidea","Limoniidae","Limnophilinae","","","","","Eloeophila","","","","",NA,NA,"Genus","Genus","Genus","Nematocera","Nematocera","Nematocera","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","elsis","Parapsyche","Parapsyche","Parapsyche elsis",115560,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Arctopsychinae","","","","","Parapsyche","","","elsis","",NA,NA,"Genus","Genus","Species","Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche",NA,NA,NA,"Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche"
"388","eminellobus","Orthocladiinae","Chironomidae","Rheocricotopus eminellobus",129096,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Rheocricotopus","","","eminellobus","",NA,NA,"Family","Subfamily","Species","Chironomidae","Orthocladiinae","Rheocricotopus","Chironomidae","Orthocladiinae","Rheocricotopus",NA,NA,"Rheocricotopus",NA,NA,NA,NA,NA,NA
"389","Empididae","Empididae","Empididae","Empididae",135830,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","","","","","","","","","","","Empididae",FALSE,"Family","Family","Family","Empididae","Empididae","Empididae","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Empididae Genus A","Empididae Genus A","Empididae Genus A","Empididae Genus A",-131,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","","","","","","Empididae Genus A","","","","","Empididae",FALSE,"Genus","Genus","Genus","Empididae Genus A","Empididae Genus A","Empididae Genus A","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Empididae Genus B","Empididae Genus B","Empididae Genus B","Empididae Genus B",-132,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","","","","","","Empididae Genus B","","","","","Empididae",FALSE,"Genus","Genus","Genus","Empididae Genus B","Empididae Genus B","Empididae Genus B","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Empididae sp. AJF#01","Empididae sp. AJF#01","Empididae sp. AJF#01","Empididae sp. AJF#01",-207,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","","","","","","","","","Empididae sp. AJF#01","","Empididae",FALSE,"Species","Species","Species","Empididae","Empididae","Empididae","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Empididae sp. AJF#02","Empididae sp. AJF#02","Empididae sp. AJF#02","Empididae sp. AJF#02",-208,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","","","","","","","","","Empididae sp. AJF#02","","Empididae",FALSE,"Species","Species","Species","Empididae","Empididae","Empididae","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Empididae sp. QNR#01","Empididae sp. QNR#01","Empididae sp. QNR#01","Empididae sp. QNR#01",-209,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","","","","","","","","","Empididae sp. QNR#01","","Empididae",FALSE,"Species","Species","Species","Empididae","Empididae","Empididae","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Enallagma","Enallagma","Enallagma","Enallagma",102102,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Zygoptera","","","Coenagrionidae","","","","","","Enallagma","","","","",NA,NA,"Genus","Genus","Genus","Enallagma","Enallagma","Enallagma","Enallagma","Enallagma","Enallagma","Enallagma","Enallagma","Enallagma",NA,NA,NA,NA,NA,NA
"396","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae",68510,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","","","","","",NA,NA,"Subclass","Family","Family","Oligochaeta","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Enchytraeus","Enchytraeidae","Oligochaeta","Enchytraeus",68531,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Enchytraeus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Enchytraeidae","Enchytraeus","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Endochironomus","Chironomini","Chironomidae","Endochironomus",129470,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Endochironomus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Chironomini","Chironomidae","Chironomidae","Endochironomus",NA,NA,"Endochironomus",NA,NA,NA,NA,NA,NA
"399","Enochrus","Enochrus","Enochrus","Enochrus",112973,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Hydrophilini","","","Enochrus","","","","",NA,NA,"Genus","Genus","Genus","Hydrophilidae","Hydrophilidae","Hydrophilidae","Enochrus","Enochrus","Enochrus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Eobrachycentrus","Eobrachycentrus","Eobrachycentrus","Eobrachycentrus",116971,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Eobrachycentrus","","","","",NA,NA,"Genus","Genus","Genus","Eobrachycentrus","Eobrachycentrus","Eobrachycentrus","Brachycentridae","Brachycentridae","Brachycentridae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Eocosmoecus","Eocosmoecus","Eocosmoecus","Eocosmoecus",568777,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Eocosmoecus","","","","",NA,NA,"Genus","Genus","Genus","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Eogammarus","Eogammarus","Eogammarus","Eogammarus",93843,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","","","","","","Eogammarus","","","","",NA,NA,"Genus","Genus","Genus","Eogammarus","Eogammarus","Eogammarus","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Eogammarus confervicolus","Eogammarus confervicolus","Eogammarus confervicolus","Eogammarus confervicolus",656666,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","","","","","","Eogammarus","","","confervicolus","",NA,NA,"Species","Species","Species","Eogammarus","Eogammarus","Eogammarus","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Epeorus","Epeorus","Epeorus","Epeorus",100626,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","","",NA,NA,"Genus","Genus","Genus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"405","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae",100629,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","albertae","",NA,NA,"Species","Species","Species","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae","Epeorus albertae"
"406","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus Albertae Group",-197,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","Epeorus Albertae Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"407","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus",100632,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","deceptivus","",NA,NA,"Species","Species","Species","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus","Epeorus","Epeorus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus"
"408","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis",100635,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","grandis","",NA,NA,"Species","Species","Species","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis","Epeorus grandis"
"409","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus Grandis Group",-266,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","Epeorus Grandis Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"410","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus",100637,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","longimanus","",NA,NA,"Species","Species","Species","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus"
"411","Ephemera","Ephemera","Ephemera","Ephemera",101526,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Scapphodonta","Ephemeroidea","Ephemeridae","","","","","","Ephemera","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemera","Ephemera","Ephemera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Ephemera simulans","Ephemera simulans","Ephemera simulans","Ephemera simulans",101530,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Scapphodonta","Ephemeroidea","Ephemeridae","","","","","","Ephemera","","","simulans","",NA,NA,"Species","Species","Species","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemera","Ephemera","Ephemera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Ephemerella","Ephemerella","Ephemerella","Ephemerella",101233,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","","",NA,NA,"Genus","Genus","Genus","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"414","Ephemerella alleni","Ephemerella alleni","Ephemerella alleni","Ephemerella alleni",101251,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","alleni","",NA,NA,"Species","Species","Species","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"415","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii",101255,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","aurivillii","",NA,NA,"Species","Species","Species","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii"
"416","Ephemerella dorothea","Ephemerella dorothea","Ephemerella dorothea","Ephemerella dorothea",101272,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","dorothea","",NA,NA,"Species","Species","Species","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
