"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Mapped.Taxon.Serial.Number","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"11","Achaeta","Enchytraeidae","Oligochaeta","Achaeta",68560,"Achaeta",68560,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Achaeta","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Acneus","Acneus","Acneus","Acneus",114082,"Acneus",114082,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Eubriinae","","","","","Acneus","","","","",NA,NA,"Genus","Genus","Genus","Psephenidae","Psephenidae","Psephenidae","Psephenidae","Psephenidae","Psephenidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Acricotopus","Orthocladiinae","Chironomidae","Acricotopus",128463,"Acricotopus",128463,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Acricotopus","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Acricotopus","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna",-267,"Aeshna interrupta",185979,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Odonata","Anisoptera","","","Aeshnidae","","","","","","Aeshna/Rhionaeschna","","","","",NA,NA,"Genus","Genus","Genus","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna",-267,"Aeshna",101603,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Odonata","Anisoptera","","","Aeshnidae","","","","","","Aeshna/Rhionaeschna","","","","",NA,NA,"Genus","Genus","Genus","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna",-267,"Aeshna umbrosa",101605,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Odonata","Anisoptera","","","Aeshnidae","","","","","","Aeshna/Rhionaeschna","","","","",NA,NA,"Genus","Genus","Genus","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshna/Rhionaeschna","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae",101596,"Aeshnidae",101596,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Aeshnidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Afghanurus","Afghanurus","Afghanurus","Afghanurus",-243,"Nixe",100692,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","","",NA,NA,"Genus","Genus","Genus","Afghanurus","Afghanurus","Afghanurus","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Afghanurus","Afghanurus","Afghanurus","Afghanurus",-243,"Ecdyonurus",697960,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","","",NA,NA,"Genus","Genus","Genus","Afghanurus","Afghanurus","Afghanurus","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Afghanurus","Afghanurus","Afghanurus","Afghanurus",-243,"Afghanurus",-243,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","","",NA,NA,"Genus","Genus","Genus","Afghanurus","Afghanurus","Afghanurus","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei",-244,"Ecdyonurus criddlei",698149,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","criddlei","",NA,NA,"Species","Species","Species","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei",-244,"Afghanurus criddlei",-244,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","criddlei","",NA,NA,"Species","Species","Species","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Agabinae","Agabinae","Dytiscidae","Agabinae",728212,"Platambus",728241,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Dytiscidae","Dytiscidae","Dytiscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Agabinae","Agabinae","Dytiscidae","Agabinae",728212,"Ilybiosoma",728239,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Dytiscidae","Dytiscidae","Dytiscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Agabinae","Agabinae","Dytiscidae","Agabinae",728212,"Ilybius",112181,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Dytiscidae","Dytiscidae","Dytiscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Agabinae","Agabinae","Dytiscidae","Agabinae",728212,"Agabinae",728212,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Dytiscidae","Dytiscidae","Dytiscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Agabinus","Agabinus","Dytiscidae","Agabinus",112068,"Agabinus",112068,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","Agabini","","","Agabinus","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Agabinus","Agabinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Agabus","Agabus","Dytiscidae","Agabus",111966,"Agabus",111966,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","Agabini","","","Agabus","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Agabus","Agabus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Agapetus","Agapetus","Agapetus","Agapetus",117121,"Agapetus",117121,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Glossosomatoidea","Glossosomatidae","Agapetinae","","","","","Agapetus","","","","",NA,NA,"Genus","Genus","Genus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus"
"30","Agathon","Agathon","Agathon","Agathon",121230,"Agathon",121230,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Blephariceromorpha","","Blephariceridae","Blepharicerinae","","Blepharicerini","","","Agathon","","","","",NA,NA,"Genus","Genus","Genus","Agathon","Agathon","Agathon","Agathon","Agathon","Agathon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Agraylea","Agraylea","Agraylea","Agraylea",115635,"Agraylea",115635,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Agraylea","","","","",NA,NA,"Genus","Genus","Genus","Agraylea","Agraylea","Agraylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Albia","Acari","Acari","Albia",83435,"Albia",83435,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Axonopsidae","","","","","","Albia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Allocladius","Orthocladiinae","Chironomidae","Allocladius",-183,"Allocladius",-183,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Allocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Allocosmoecus partitus","Allocosmoecus","Allocosmoecus","Allocosmoecus partitus",115970,"Allocosmoecus partitus",115970,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Allocosmoecus","","","partitus","",NA,NA,"Genus","Genus","Species","Allocosmoecus","Allocosmoecus","Allocosmoecus partitus","Dicosmoecinae","Dicosmoecinae","Allocosmoecus partitus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Allocosmoecus partitus","Allocosmoecus","Allocosmoecus","Allocosmoecus partitus",115970,"Allocosmoecus",115969,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Allocosmoecus","","","partitus","",NA,NA,"Genus","Genus","Species","Allocosmoecus","Allocosmoecus","Allocosmoecus partitus","Dicosmoecinae","Dicosmoecinae","Allocosmoecus partitus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Allognosta","Allognosta","Allognosta","Allognosta",130160,"Allognosta",130160,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Stratiomyomorpha","","Stratiomyidae","Beridinae","","","","","Allognosta","","","","",NA,NA,"Genus","Genus","Genus","Allognosta","Allognosta","Allognosta","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Allomyia","Allomyia","Allomyia","Allomyia",116438,"Allomyia",116438,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Apataniidae","","","","","","Allomyia","","","","",NA,NA,"Genus","Genus","Genus","Trichoptera","Trichoptera","Trichoptera","Allomyia","Allomyia","Allomyia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Alloperla","Alloperla","Alloperla","Alloperla",103203,"Alloperla",103203,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Alloperla","","","","",NA,NA,"Genus","Genus","Genus","Chloroperlidae","Chloroperlidae","Chloroperlidae","Alloperla","Alloperla","Alloperla","Chloroperlinae","Chloroperlinae","Chloroperlinae",NA,NA,NA,NA,NA,NA
"39","Alotanypus","Coelotanypodini","Chironomidae","Alotanypus",206646,"Alotanypus",206646,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Coelotanypodini","","","Alotanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanypodinae","Tanypodinae","Chironomidae","Tanypodinae","Tanypodinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Altmanella","Lumbriculidae","Oligochaeta","Altmanella",-185,"Altmanella",-185,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Altmanella","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Lumbriculidae","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Ameletus","Ameletus","Ameletus","Ameletus",100996,"Ameletus",100996,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Ameletidae","","","","","","Ameletus","","","","",NA,NA,"Genus","Genus","Genus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus",NA,NA,NA,"Ameletus","Ameletus","Ameletus"
"42","Americorophium","Americorophium","Americorophium","Americorophium",656484,"Americorophium",656484,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","","","","","","Americorophium","","","","",NA,NA,"Genus","Genus","Genus","Americorophium","Americorophium","Americorophium","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Americorophium","Americorophium","Americorophium","Americorophium",656484,"Corophiidae",93584,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","","","","","","Americorophium","","","","",NA,NA,"Genus","Genus","Genus","Americorophium","Americorophium","Americorophium","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Americorophium","Americorophium","Americorophium","Americorophium",656484,"Corophium",93589,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","","","","","","Americorophium","","","","",NA,NA,"Genus","Genus","Genus","Americorophium","Americorophium","Americorophium","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Americorophium","Americorophium","Americorophium","Americorophium",656484,"Americorophium spinicorne",656746,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","","","","","","Americorophium","","","","",NA,NA,"Genus","Genus","Genus","Americorophium","Americorophium","Americorophium","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Ametor","Ametor","Ametor","Ametor",112890,"Ametor scabrosus",112892,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Sperchopsini","","","Ametor","","","","",NA,NA,"Genus","Genus","Genus","Ametor","Ametor","Ametor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Ametor","Ametor","Ametor","Ametor",112890,"Ametor",112890,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Sperchopsini","","","Ametor","","","","",NA,NA,"Genus","Genus","Genus","Ametor","Ametor","Ametor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Ametropus","Ametropus","Ametropus","Ametropus",101074,"Ametropus ammophilus",101077,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Pisciforma","","","Ametropodidae","","","","","","Ametropus","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus",116933,"Amiocentrus",116933,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Amiocentrus","","","","",NA,NA,"Genus","Genus","Genus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus",NA,NA,NA,NA,NA,NA,"Amiocentrus","Amiocentrus","Amiocentrus"
"50","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus",116933,"Amiocentrus aspilus",116934,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Amiocentrus","","","","",NA,NA,"Genus","Genus","Genus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus",NA,NA,NA,NA,NA,NA,"Amiocentrus","Amiocentrus","Amiocentrus"
"51","Amphicosmoecus","Amphicosmoecus","Amphicosmoecus","Amphicosmoecus",116253,"Amphicosmoecus canax",116254,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Trichoptera","Integripalpia","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Amphicosmoecus","","","","",NA,NA,"Genus","Genus","Genus","Amphicosmoecus","Amphicosmoecus","Amphicosmoecus","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Amphipoda","Amphipoda","Amphipoda","Amphipoda",93294,"Amphipoda",93294,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","","","","","","","","","","","","","","",NA,NA,"Order","Order","Order","Amphipoda","Amphipoda","Amphipoda","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Amphizoa","Amphizoa","Amphizoa","Amphizoa",111953,"Amphizoa",111953,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Amphizoidae","","","","","","Amphizoa","","","","",NA,NA,"Genus","Genus","Genus","Amphizoa","Amphizoa","Amphizoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Ampumixis","Ampumixis","Ampumixis","Ampumixis",114196,"Ampumixis",114196,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ampumixis","","","","",NA,NA,"Genus","Genus","Genus","Ampumixis","Ampumixis","Ampumixis","Ampumixis","Ampumixis","Ampumixis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Ampumixis","Ampumixis","Ampumixis","Ampumixis",114196,"Ampumixis dispar",114197,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ampumixis","","","","",NA,NA,"Genus","Genus","Genus","Ampumixis","Ampumixis","Ampumixis","Ampumixis","Ampumixis","Ampumixis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Anacaena","Anacaena","Anacaena","Anacaena",112878,"Anacaena",112878,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Anacaenini","","","Anacaena","","","","",NA,NA,"Genus","Genus","Genus","Anacaena","Anacaena","Anacaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",-268,"Anafroptilum",-179,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Anafroptilum/Procloeon","","","","",NA,NA,"Genus","Genus","Genus","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",-268,"Centroptilum conturbatum",100875,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Anafroptilum/Procloeon","","","","",NA,NA,"Genus","Genus","Genus","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",-268,"Procloeon",206622,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Anafroptilum/Procloeon","","","","",NA,NA,"Genus","Genus","Genus","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",-268,"Centroptilum",100873,"Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Anafroptilum/Procloeon","","","","",NA,NA,"Genus","Genus","Genus","Anafroptilum/Procloeon","Anafroptilum/Procloeon","Anafroptilum/Procloeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
