"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Taxon","Taxon.Serial.Number","Mapped.Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"843","Neumania","Acari","Acari","Neumania","Neumania",83103,"83103","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Unionicolidae","","","","","","Neumania","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844","Neureclipsis","Neureclipsis","Neureclipsis","Neureclipsis","Neureclipsis",117095,"117095","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Polycentropodidae","Polycentropodinae","","","","","Neureclipsis","","","","",NA,NA,"Genus","Genus","Genus","Polycentropodinae","Polycentropodinae","Polycentropodinae",NA,NA,NA,"Neureclipsis","Neureclipsis","Neureclipsis",NA,NA,NA,NA,NA,NA
"845","Neuroptera","Neuroptera","Neuroptera","Neuroptera","Neuroptera",114999,"114999","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","Neuropterida","Neuroptera","","","","","","","","","","","","","","","Neuroptera",TRUE,"Order","Order","Order",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846","Nilotanypus","Pentaneurini","Chironomidae","Nilotanypus","Nilotanypus",128202,"128202","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Nilotanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Nilotanypus","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,"Nilotanypus",NA,NA,NA,NA,NA,NA
"847","Nilothauma","Chironomini","Chironomidae","Nilothauma","Nilothauma",129548,"129548","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Nilothauma","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Chironomini","Chironomidae","Chironomidae","Chironomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"848","Nootkadrilus","Naididae","Oligochaeta","Nootkadrilus","Nootkadrilus",974543,"974543","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","Phallodrilinae","","","","","Nootkadrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Naididae","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"849","Nootkadrilus","Naididae","Oligochaeta","Nootkadrilus","Nootkadrilus longisetosus",978138,"974543","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","Phallodrilinae","","","","","Nootkadrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Naididae","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"850","Notonecta","Notonecta","Notonecta","Notonecta","Notonecta",103558,"103558","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","Nepomorpha","Notonectoidea","Notonectidae","Notonectinae","","Notonectini","","","Notonecta","","","","",NA,NA,"Genus","Genus","Genus","Heteroptera","Heteroptera","Heteroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","Notonectidae","Notonectidae","Notonectidae","Notonectidae","Notonectidae",103557,"103557","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","Nepomorpha","Notonectoidea","Notonectidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Heteroptera","Heteroptera","Heteroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Hydroptilidae sp. RAI # 0001",-133,"115714","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Ochrotrichiini","","","Ochrotrichia","","","","",NA,NA,"Genus","Genus","Genus","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia",NA,NA,NA,"Ochrotrichia","Ochrotrichia","Ochrotrichia"
"853","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia",115714,"115714","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Ochrotrichiini","","","Ochrotrichia","","","","",NA,NA,"Genus","Genus","Genus","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia","Ochrotrichia",NA,NA,NA,"Ochrotrichia","Ochrotrichia","Ochrotrichia"
"854","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus specularis",101737,"101736","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Octogomphus","","","","",NA,NA,"Genus","Genus","Genus","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus",NA,NA,NA,"Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus"
"855","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus",101736,"101736","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Octogomphus","","","","",NA,NA,"Genus","Genus","Genus","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus",NA,NA,NA,"Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus","Octogomphus"
"856","Ocybrachypoda","Acari","Acari","Ocybrachypoda","Ocybrachypoda",-225,"-225","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Aturidae","","","","","","Ocybrachypoda","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857","Odonata","Odonata","Odonata","Odonata","Odonata",101593,"101593","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","","","","","","","","","","","","","","",NA,NA,"Order","Order","Order",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858","Odontomesa","Prodiamesinae","Chironomidae","Odontomesa","Odontomesa",128446,"128446","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Prodiamesinae","","","","","Odontomesa","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Chironomidae","Odontomesa","Chironomidae","Chironomidae","Odontomesa",NA,NA,"Odontomesa",NA,NA,NA,NA,NA,NA
"859","Odontomyia","Odontomyia","Odontomyia","Odontomyia","Odontomyia",130573,"130573","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Stratiomyomorpha","","Stratiomyidae","Stratiomyinae","","Stratiomyini","","","Odontomyia","","","","",NA,NA,"Genus","Genus","Genus","Stratiomyidae","Stratiomyidae","Stratiomyidae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"860","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis",116607,"116607","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Leptoceroidea","Leptoceridae","Leptocerinae","","Oecetini","","","Oecetis","","","","",NA,NA,"Genus","Genus","Genus","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis",NA,NA,NA,"Oecetis","Oecetis","Oecetis"
"861","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis avara",116608,"116607","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Leptoceroidea","Leptoceridae","Leptocerinae","","Oecetini","","","Oecetis","","","","",NA,NA,"Genus","Genus","Genus","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis","Oecetis",NA,NA,NA,"Oecetis","Oecetis","Oecetis"
"862","Olea","Olea","Stiligeridae","Olea","Olea",77997,"77997","Mollusca","","","Gastropoda","Opisthobranchia","","","Sacoglossa","","","","Stiligeridae","","","","","","Olea","","","","",NA,NA,"Family","Genus","Genus","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"863","Oligoceras","Oligoceras","Oligoceras","Oligoceras","Oligoceras",47601,"47601","Porifera","","","Demospongiae","","","","Dictyoceratida","","","","Thorectidae","","","","","","Oligoceras","","","","",NA,NA,"Genus","Genus","Genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta",68422,"68422","Annelida","","","Clitellata","Oligochaeta","","","","","","","","","","","","","","","","","",NA,NA,"Subclass","Subclass","Subclass","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"865","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Clitellata",568832,"68422","Annelida","","","Clitellata","Oligochaeta","","","","","","","","","","","","","","","","","",NA,NA,"Subclass","Subclass","Subclass","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"866","Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes",116039,"116039","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Uenoidae","Thremmatinae","","","","","Oligophlebodes","","","","",NA,NA,"Genus","Genus","Genus","Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes",NA,NA,NA,"Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes","Oligophlebodes"
"867","Oligota","Oligota","Oligota","Oligota","Oligota",186509,"186509","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","Aleocharinae","","Hypocyphtini","","","Oligota","","","","","Staphylinidae",TRUE,"Genus","Genus","Genus","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae","Staphylinidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"868","Onocosmoecus","Onocosmoecus","Onocosmoecus","Onocosmoecus","Onocosmoecus",116315,"116315","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Onocosmoecus","","","","",NA,NA,"Genus","Genus","Genus","Onocosmoecus","Onocosmoecus","Onocosmoecus","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Onocosmoecus","Onocosmoecus","Onocosmoecus",NA,NA,NA,"Onocosmoecus","Onocosmoecus","Onocosmoecus"
"869","Onocosmoecus","Onocosmoecus","Onocosmoecus","Onocosmoecus","Onocosmoecus unicolor",116318,"116315","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Onocosmoecus","","","","",NA,NA,"Genus","Genus","Genus","Onocosmoecus","Onocosmoecus","Onocosmoecus","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Onocosmoecus","Onocosmoecus","Onocosmoecus",NA,NA,NA,"Onocosmoecus","Onocosmoecus","Onocosmoecus"
"870","Opeas","Opeas","Subulinidae","Opeas","Opeas",76969,"76969","Mollusca","","","Gastropoda","","","","Stylommatophora","","","","Subulinidae","","","","","","Opeas","","","","",NA,NA,"Family","Genus","Genus","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"871","Ophidonais","Naididae","Oligochaeta","Ophidonais","Ophidonais serpentina",68996,"","Annelida","","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","Naidinae","","","","","Ophidonais","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Naidinae","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"872","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus occidentis",101760,"101738","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Ophiogomphus","","","","",NA,NA,"Genus","Genus","Genus","Gomphidae","Gomphidae","Gomphidae","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus",NA,NA,NA,"Ophiogomphus","Ophiogomphus","Ophiogomphus"
"873","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus",101738,"101738","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Ophiogomphus","","","","",NA,NA,"Genus","Genus","Genus","Gomphidae","Gomphidae","Gomphidae","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus",NA,NA,NA,"Ophiogomphus","Ophiogomphus","Ophiogomphus"
"874","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus severus",101741,"101738","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Ophiogomphus","","","","",NA,NA,"Genus","Genus","Genus","Gomphidae","Gomphidae","Gomphidae","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus","Ophiogomphus",NA,NA,NA,"Ophiogomphus","Ophiogomphus","Ophiogomphus"
"875","Optioservus","Optioservus","Optioservus","Optioservus","Optioservus",114177,"114177","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Optioservus","","","","",NA,NA,"Genus","Genus","Genus","Optioservus","Optioservus","Optioservus","Elmidae","Elmidae","Elmidae","Optioservus","Optioservus","Optioservus",NA,NA,NA,"Optioservus","Optioservus","Optioservus"
"876","Optioservus","Optioservus","Optioservus","Optioservus","Optioservus quadrimaculatus",114180,"114177","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Optioservus","","","","",NA,NA,"Genus","Genus","Genus","Optioservus","Optioservus","Optioservus","Elmidae","Elmidae","Elmidae","Optioservus","Optioservus","Optioservus",NA,NA,NA,"Optioservus","Optioservus","Optioservus"
"877","Oravelia","Oravelia","Oravelia","Oravelia","Oravelia",103993,"103993","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","Gerromorpha","Hydrometroidea","Macroveliidae","","","","","","Oravelia","","","","","Macroveliidae",TRUE,"Genus","Genus","Genus","Heteroptera","Heteroptera","Heteroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878","Orconectes","Orconectes","Orconectes","Orconectes","Orconectes",97421,"97421","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","","","",NA,NA,"Genus","Genus","Genus","Cambaridae","Cambaridae","Cambaridae","Decapoda","Decapoda","Decapoda","Orconectes","Orconectes","Orconectes",NA,NA,NA,NA,NA,NA
"879","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera",114236,"114236","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ordobrevia","","","nubifera","",NA,NA,"Species","Species","Species","Elmidae","Elmidae","Elmidae","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia","Ordobrevia","Ordobrevia","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia","Ordobrevia","Ordobrevia"
"880","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia",114235,"114236","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ordobrevia","","","nubifera","",NA,NA,"Species","Species","Species","Elmidae","Elmidae","Elmidae","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia","Ordobrevia","Ordobrevia","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia nubifera","Ordobrevia","Ordobrevia","Ordobrevia"
"881","Oregonacarus","Acari","Acari","Oregonacarus","Oregonacarus",-193,"-193","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Anisitsiellidae","","","","","","Oregonacarus","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","Oregonia","Oregonia","Oregonia","Oregonia","Oregonia",98418,"98418","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Majoidea","Oregoniidae","","","","","","Oregonia","","","","",NA,NA,"Genus","Genus","Genus","Decapoda","Decapoda","Decapoda","Decapoda","Decapoda","Decapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","Oreodytes","Oreodytes","Dytiscidae","Oreodytes","Oreodytes obesus",112316,"112314","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","","Oreodytes","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Oreodytes","Oreodytes",NA,"Oreodytes","Oreodytes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","Oreodytes","Oreodytes","Dytiscidae","Oreodytes","Oreodytes",112314,"112314","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","","Oreodytes","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Oreodytes","Oreodytes",NA,"Oreodytes","Oreodytes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","Oreodytes","Oreodytes","Dytiscidae","Oreodytes","Oreodytes abbreviatus",112315,"112314","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","","Oreodytes","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Oreodytes","Oreodytes",NA,"Oreodytes","Oreodytes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","Oreodytes","Oreodytes","Dytiscidae","Oreodytes","Oreodytes congruus",568828,"112314","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","","Oreodytes","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Oreodytes","Oreodytes",NA,"Oreodytes","Oreodytes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","Oreogeton","Oreogeton","Oreogeton","Oreogeton","Oreogeton",136377,"136377","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Oreogetoninae","","","","","Oreogeton","","","","","Empididae",FALSE,"Genus","Genus","Genus","Oreogeton","Oreogeton","Oreogeton","Oreogeton","Oreogeton","Oreogeton",NA,NA,NA,"Oreogeton","Oreogeton","Oreogeton","Oreogeton","Oreogeton","Oreogeton"
"888","Oribatida","Acari","Acari","Oribatida","Hydrozetes",553094,"733326","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Sarcoptiformes","Oribatida","","","","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Suborder","Acari","Acari","Oribatida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","Oribatida","Acari","Acari","Oribatida","Oribatida",733326,"733326","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Sarcoptiformes","Oribatida","","","","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Suborder","Acari","Acari","Oribatida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","Ormosia","Ormosia","Ormosia","Ormosia","Ormosia",120830,"120830","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Eriopterini","","","Ormosia","","","","",NA,NA,"Genus","Genus","Genus","Ormosia","Ormosia","Ormosia","Ormosia","Ormosia","Ormosia","Ormosia","Ormosia","Ormosia",NA,NA,NA,"Ormosia","Ormosia","Ormosia"
"891","Orohermes","Orohermes","Orohermes","Orohermes","Orohermes crepusculus",115045,"","Arthropoda","Hexapoda","","Insecta","Pterygota","","","Megaloptera","","","","Corydalidae","Chauliodinae","","","","","Orohermes","","","","",NA,NA,"Genus","Genus","Genus",NA,NA,NA,"Orohermes","Orohermes","Orohermes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"892","Oropuella","Orthocladiinae","Chironomidae","Oropuella","Oropuella",-253,"-253","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Oropuella","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","Oropuella","Orthocladiinae","Chironomidae","Oropuella","Orthocladiinae sp. RAI # 0001",-134,"-253","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Oropuella","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae sp. RAI # 0004",-135,"128457","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"895","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",128457,"128457","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae Genus 5 (Coffman and Ferrington)",-136,"128457","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","Orthocladius","Orthocladiinae","Chironomidae","Orthocladius","Orthocladius (Orthocladius)",568522,"128874","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladius","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,"Orthocladius",NA,NA,NA,NA,NA,NA
"898","Orthocladius","Orthocladiinae","Chironomidae","Orthocladius","Orthocladius",128874,"128874","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladius","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,"Orthocladius",NA,NA,NA,NA,NA,NA
"899","Orthocladius","Orthocladiinae","Chironomidae","Orthocladius","Orthocladius consobrinus",128886,"128874","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladius","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,"Orthocladius",NA,NA,NA,NA,NA,NA
"900","Orthocladius (Euorthocladius)","Orthocladiinae","Chironomidae","Orthocladius (Euorthocladius)","Orthocladius (Euorthocladius)",568520,"568520","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","Euorthocladius","","",NA,NA,"Family","Subfamily","Subgenus","Chironomidae","Orthocladiinae","Orthocladius (Euorthocladius)","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,"Orthocladius",NA,NA,NA,NA,NA,NA
"901","Orthocladius (Symposiocladius)","Orthocladiinae","Chironomidae","Orthocladius (Symposiocladius)","Orthocladius (Symposiocladius)",568523,"568523","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","Symposiocladius","","",NA,NA,"Family","Subfamily","Subgenus","Chironomidae","Orthocladiinae","Orthocladius (Symposiocladius)","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,"Orthocladius",NA,NA,NA,NA,NA,NA
