"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Taxon","Taxon.Serial.Number","Mapped.Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"400","Ephemera","Ephemera","Ephemera","Ephemera","Ephemera simulans",101530,"101526","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Scapphodonta","Ephemeroidea","Ephemeridae","","","","","","Ephemera","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemera","Ephemera","Ephemera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",101233,"101233","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","","",NA,NA,"Genus","Genus","Genus","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"402","Ephemerella alleni","Ephemerella alleni","Ephemerella alleni","Ephemerella alleni","Ephemerella alleni",101251,"101251","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","alleni","",NA,NA,"Species","Species","Species","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"403","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii",101255,"101255","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","aurivillii","",NA,NA,"Species","Species","Species","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella aurivillii","Ephemerella aurivillii","Ephemerella aurivillii"
"404","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella dorothea infrequens",698506,"-199","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","Ephemerella Excrucians Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"405","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella excrucians",101276,"-199","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","Ephemerella Excrucians Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"406","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella inermis/infrequens",-146,"-199","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","Ephemerella Excrucians Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"407","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella dorothea",101272,"-199","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","Ephemerella Excrucians Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"408","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group","Ephemerella Excrucians Group",-199,"-199","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","Ephemerella Excrucians Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,NA,NA,NA,"Ephemerella","Ephemerella","Ephemerella"
"409","Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Serratella tibialis",101399,"101401","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Ephemerella","","","tibialis","",NA,NA,"Species","Species","Species","Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Ephemerella","Ephemerella","Ephemerella",NA,NA,NA,"Ephemerella tibialis","Ephemerella tibialis","Ephemerella tibialis","Ephemerella","Ephemerella","Ephemerella"
