"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Coarse_STE","Coarse_STE_rank"
"1284","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Tipulomorpha","ZZZ","Tipulidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Tipulidae","Family"
"1285","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Tipulomorpha","ZZZ","Tipulidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Tipulidae","Family"
"1286","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Orthocladiinae","ZZZ","ZZZ","ZZZ","ZZZ","Tokunagaia","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"1287","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Torrenticolidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Torrenticola","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"1288","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Torrenticolidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"1289","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1290","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1291","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1292","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1293","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1294","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Gerromorpha","Gerroidea","Gerridae","Trepobatinae","ZZZ","ZZZ","ZZZ","ZZZ","Trepobates","ZZZ","ZZZ","ZZZ","ZZZ","Trepobates","Genus"
"1296","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Chironominae","ZZZ","Chironomini","ZZZ","ZZZ","Tribelos","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"1297","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Chironominae","ZZZ","Chironomini","ZZZ","ZZZ","Tribelos","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"1298","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Brachycera","Muscomorpha","ZZZ","Empididae","Clinocerinae","ZZZ","ZZZ","ZZZ","ZZZ","Trichoclinocera","ZZZ","ZZZ","ZZZ","ZZZ","Trichoclinocera","Genus"
"1299","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae","Corixinae","ZZZ","ZZZ","ZZZ","ZZZ","Trichocorixa","ZZZ","ZZZ","ZZZ","ZZZ","Trichocorixa","Genus"
"1300","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trichoptera","Order"
"1301","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trichoptera","Order"
"1302","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trichoptera","Order"
"1303","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trichoptera","Order"
"1304","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Leptohyphidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Tricorythodes","ZZZ","ZZZ","ZZZ","ZZZ","Tricorythodes","Genus"
"1305","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Leptohyphidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Tricorythodes","ZZZ","ZZZ","ZZZ","ZZZ","Tricorythodes","Genus"
"1306","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Leptohyphidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Tricorythodes","ZZZ","ZZZ","ZZZ","ZZZ","Tricorythodes","Genus"
"1307","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Tanypodinae","ZZZ","Pentaneurini","ZZZ","ZZZ","Trissopelopia","ZZZ","ZZZ","ZZZ","ZZZ","Chironomidae","Family"
"1308","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"1309","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Hydrophilini","ZZZ","ZZZ","Tropisternus","ZZZ","ZZZ","ZZZ","ZZZ","Tropisternus","Genus"
"1310","Mollusca","ZZZ","ZZZ","Gastropoda","Caenogastropoda","ZZZ","ZZZ","Littorinimorpha","ZZZ","ZZZ","Truncatelloidea","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Truncatelloidea","Superfamily"
"1311","Mollusca","ZZZ","ZZZ","Gastropoda","Caenogastropoda","ZZZ","ZZZ","Littorinimorpha","ZZZ","ZZZ","Truncatelloidea","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Truncatelloidea","Superfamily"
"1312","Mollusca","ZZZ","ZZZ","Gastropoda","Caenogastropoda","ZZZ","ZZZ","Littorinimorpha","ZZZ","ZZZ","Truncatelloidea","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Truncatelloidea","Superfamily"
